English_Noun,Chinese_Noun
arm,gē bì - 胳臂
back (anatomy),bèi - 背
cheeks,liǎn jiá - 脸颊
chest (anatomy),xiōng bù - 胸部
chin,xià bā - 下巴
ear,ěr duǒ - 耳朵
elbow,zhǒu - 肘
eye,yǎn - 眼
face,liǎn - 脸
finger,shǒu zhǐ - 手指
fingers,shǒu zhǐ - 手指
foot,jiǎo - 脚
hair,tóu fā - 头发
hand,shǒu - 手
head,tóu - 头
heart,xīn zàng - 心脏
knee,xī gài - 膝盖
leg,tuǐ - 腿
lip,chún - 唇
mouth,kǒu - 口
neck,gěng bù - 颈部
nose,bí zi - 鼻子
shoulder,jiān - 肩
stomach,wèi - 胃
teeth,yá chǐ - 牙齿
thigh,dà tuǐ - 大腿
throat,hóu lóng - 喉咙
thumb,mǔ zhǐ - 拇指
toe,jiǎo zhǐ - 脚趾
tongue,shé tóu - 舌头
tooth,yá chǐ - 牙齿
pharmacy,yào fáng - 药房
restaurant,cān guǎn - 餐馆
house,fáng zi - 房子
room,fáng jiān - 房间
bathroom,yù shì - 浴室
toilet,cè suǒ - 厕所
bedroom,wò shì - 卧室
kitchen,chú fáng - 厨房
floor,dì bǎn - 地板
roof,wū dǐng - 屋顶
ceiling,qiáng - 墙
wall,tiān huā bǎn - 天花板
window,chuāng kǒu - 窗口
people,rén - 人
husband,zhàng fū - 丈夫
wife,qī zǐ - 妻子
father,fù qīn - 父亲
mother,mǔ qīn - mǔ qīn
son,ér zi - 儿子
daughter,nǚ ér - 女儿
grandfather,zǔ fù - 祖父
grandmother,zǔ mǔ - 祖母
weather,tiān qì - 天气
windy,yǒu fēng - 有风
cloudy,duō yún - 多云
raining,xià yǔ - 下雨
cold,lěng - 冷
snowing,xià xuě - 下雪
sunny,qíng lǎng - 晴朗
hot,rè - 热
autumn,qiū jì - 秋季
winter,dōng tiān - 冬天
spring,chūn tiān - 春天
summer,xià tiān - 夏天
food,shí pǐn - 食品
bread,miàn bāo - 面包
cheese,nǎi lào - 奶酪
meat,ròu - 肉
chicken,jī ròu - 鸡肉
fish,yú ròu - 鱼肉
sandwich,sān míng zhì - 三明治
salad,shā lā - 沙拉
salt,yán - 盐
candy,táng guǒ - 糖果
fruit,shuǐ guǒ - 水果
apple,píng guǒ - 苹果
cat,māo - 猫
dog,gǒu - 狗
mouse,lǎo shǔ - 老鼠
cow,nǎi niú - 奶牛
horse,mǎ - 马
alligator,duǎn wěn è - 短吻鳄
rabbit,tù - 兔
bird,niǎo - 鸟
bear,xióng - 熊
eagle,yīng - 鹰
elephant,dà xiàng - 大象
giraffe,cháng gěng lù - 长颈鹿
lion,shī zi - 狮子
monkey,hóu zi - 猴子
snake,shé - 蛇
tiger,lǎo hǔ - 老虎
saop,féi zào - 肥皂
towel,máo jīn - 毛巾
fork,chā - 叉
knife,dāo - 刀
cup,bēi zi - 杯子
table,zhuō zi - 桌子
refrigerator,bīng xiāng - 冰箱